tier,name,domain,website,linkedin,phone,city,country,founded,revenue_printed,naics,apollo_id
A,Caloni Trasporti,calonitrasporti.com,http://www.calonitrasporti.com,http://www.linkedin.com/company/caloni-trasporti,,,,1939,,"492110,488510",556d727c73696411c7381101
A,Vector Spa,vectorspa.it,http://www.vectorspa.it,http://www.linkedin.com/company/vector-spa,,,,1978,,49311,5da324130221a100013041c6
A,GIRELLI LOGISTICS GROUP S.R.L.,girellilogisticsgroup.com,http://www.girellilogisticsgroup.com,http://www.linkedin.com/company/girelli-logistics-group-s.r.l.,+39 045 609 0450,,,,,"484122,488510,493110",5a9d69cda6da98d97e757864
A,Tepoorten Group SA,tepoorten.group,http://www.tepoorten.group,http://www.linkedin.com/company/tepoorten,,,,1929,,"488510,484121",5e56521051043e0001a3c343
A,Artoni Group,artoni.com,http://www.artoni.com,http://www.linkedin.com/company/artoni-group,+39 051 750157,,,1933,,"49311,488510,484122",54a1350269702d36c9529300
A,F.LLI FOPPIANI TRASPORTI S.R.L.,foppiani.it,http://www.foppiani.it,http://www.linkedin.com/company/f.lli-foppiani-trasporti-s.r.l.,,,,1960,,"48422,484121,488510",5cb583f580f93e2a620f10d1
A,AUTOTRASPORTI CHIARCOSSO S.R.L.,gruppochiarcosso.com,http://www.gruppochiarcosso.com,http://www.linkedin.com/company/autotrasporti-chiarcosso-s.r.l.,+39 340 340 0700,,,1958,,"48411,484121,488510",63649c61a134950001b3c2d3
A,Ala Trasporti SA,alatrasporti.ch,http://www.alatrasporti.ch,http://www.linkedin.com/company/ala-trasporti-sa,,,,1960,,"49312,48851,484121",65f3efe06609eb0006bc5faf
A,Fischer & Rechsteiner Company S.p.A.,ferfreight.com,http://www.ferfreight.com,http://www.linkedin.com/company/fischer-rechsteiner-company,+39 0341 19111,,,1953,,"488510,493110",5a9f2f10a6da98d97e8195ad
B,FRANCO VAGO SPA,nipponexpressitalia.com,http://www.nipponexpressitalia.com,http://www.linkedin.com/company/nippon-italia,+1 718-528-5200,,,1981,534M,"488510,493110",65741ccd568d97000142f71b
B,Inovys Logistic,inovyslogistic.com,http://www.inovyslogistic.com,http://www.linkedin.com/company/inovys-logistic,+39 02 8359 5471,,,2017,172M,49311,5c26d61ba3ae612a873369d6
B,GTS General Transport Service Spa,gtslogistic.com,http://www.gtslogistic.com,http://www.linkedin.com/company/g-t-s--spa,+39 080 582 0411,Bari,Italy,1977,153M,"482111,488510",54a1359869702d48e24aa800
B,Aprile - International Freight Forwarding,aprilenet.com,http://www.aprilenet.com,http://www.linkedin.com/company/aprilenet,+39 010 27031,Genoa,Italy,1974,148M,"488510,541614",54a12add69702d9b8b985402
B,Logistica Uno,logisticauno.com,http://www.logisticauno.com,http://www.linkedin.com/company/logistica-uno-europe,+39 045 676 7077,,,1994,147M,"49311,48851",54a12b1469702d9313268102
B,SOGEDIM SpA | Trasporti e Logistica,sogedim.it,http://www.sogedim.it,http://www.linkedin.com/company/sogedim-spa,+39 02 4070 4000,,,1984,109M,49311,5a9f6c7ea6da98d95ffca613
B,"Trasped Srl - Trasporti, Spedizioni e Depositi",traspedsrl.it,http://www.traspedsrl.it,http://www.linkedin.com/company/traspedsrl,+39 02 3956 3240,,,1971,2.8M,"48422,48423,49311",611739023c73ad00014247c8
B,Trasporti & Logistica s.r.l.,trasporti.org,http://www.trasporti.org,http://www.linkedin.com/company/trasporti-&-logistica-s-r-l-,+39 080 310 1062,,,1987,1M,48851,5569a9b073696425b8387500
B,Mesaroli Logistica S.p.a.,mesaroli.com,http://www.mesaroli.com,http://www.linkedin.com/company/mesaroli-logistica-spa,+39 045 735 9400,,,1950,,"48411,484122,484230",55e83666f3e5bb4d2c00030c
B,Cargoo,cargoo.com,http://www.cargoo.com,http://www.linkedin.com/company/cargoo-com,+41 44 785 92 42,,,2017,,"48851,51321",5f9847c57b3f88008c136a95
B,General Noli Forwarding & Logistics,generalnoli.com,http://www.generalnoli.com,http://www.linkedin.com/company/general-noli-spedizioni-internazionali-s.p.a.,,Modena,Italy,1979,,"488510,484121",5b1514fea6da9871126383e6
B,FORMARO SPEDIZIONI SRL,formaro.it,http://www.formaro.it,http://www.linkedin.com/company/formaro-spedizioni-s-r-l-,,,,1985,,"488510,493110,484121",54a1275a69702dc8415e2200
B,STC SERVIZIO TRASPORTI COMBINATI,serviziotrasporticombinati.it,http://www.serviziotrasporticombinati.it,http://www.linkedin.com/company/stc-servizio-trasporti-combinati,,,,,,"488510,484121,483111",5d0a731da3ae61e1db260c9a
B,Marta Trasporti e Spedizioni,martatrasporti.com,http://www.martatrasporti.com,http://www.linkedin.com/company/marta-trasporti-spedizioni-seregno,+39 0362 239166,,,,,"48422,484230,488510",670ad88bae42a7000145d310
B,At autotrasporti,myat.it,http://www.myat.it,http://www.linkedin.com/company/at-autotrasporti,+39 090 647 2029,,,2007,,,54a1398869702de5b3e34700
B,Sud Trasporti s.r.l.,sudtrasporti.it,http://www.sudtrasporti.it,http://www.linkedin.com/company/sud-trasporti-s.r.l.,,,,1969,,"48411,484122,493110",55699d84736964259cdd6600
B,BM Trasporti Srl,bm-trasporti.it,http://www.bm-trasporti.it,http://www.linkedin.com/company/bm-trasporti-srl,+39 045 669 9276,,,2001,,"48423,484121,488510",63c922763e63880001e7d25e
B,Autotrasporti Moretti,autotrasportimoretti.it,http://www.autotrasportimoretti.it,http://www.linkedin.com/company/autotrasporti-moretti-srl,+39 0734 900178,,,1966,,"48411,484121,484122",616224d62d5cd1000137d434
B,Crasta,crastaspedizioni.it,http://www.crastaspedizioni.it,http://www.linkedin.com/company/crasta,+39 08 1554 9980,,,1985,,"488510,493110",6133e49debb78c0001f2276b
B,RACCHETTI MEDIO TRASPORTI S.R.L.,racchettitrasporti.com,http://www.racchettitrasporti.com,http://www.linkedin.com/company/racchetti-medio-trasporti-s.r.l.,+39 0372 491021,,,,,48412,6739c321cd909c00013fd155
B,Trasporti F.lli Primiceri,trasportiprimiceri.com,http://www.trasportiprimiceri.com,http://www.linkedin.com/company/trasporti-f.lli-primiceri,,,,1957,,"48423,484122,488510",5a9f571ba6da98d970181593
B,F.lli Benazzi S.r.l. Autotrasporti e Spedizioni,benazzi.it,http://www.benazzi.it,http://www.linkedin.com/company/flli-benazzi,123-456-7890,,,1973,,"48411,488510,484230",6412bfbd8d87200001b3f7c9
B,Autotrasporti Capozi SRL,capozi.it,http://www.capozi.it,http://www.linkedin.com/company/autotrasporti-capozi-srl,+39 02 569 6294,,,1986,,"48411,484230,493120",556d31ba73696411d511b100
B,CIANCIOSI TRASPORTI E SERVIZI SRL,cianciosigroup.com,http://www.cianciosigroup.com,http://www.linkedin.com/company/cianciosi-trasporti-e-servizi-srl,+39 0873 547893,,,1968,,"48422,484121,484122",5a9e649ea6da98d98c6d8431
B,Spedizioni Prime,spedizioniprime.it,http://www.spedizioniprime.it,http://www.linkedin.com/company/spedizioni-prime,+39 015 6989 6654,,,,,,61acf8e512f8f3000141df60
B,Scaglia Trasporti srl,scagliatrasporti.it,http://www.scagliatrasporti.it,http://www.linkedin.com/company/scaglia-trasporti-srl,+39 02 9576 0195,,,1986,,"48411,484121,484122",54a11c8f69702da10f57b500
B,Mezzapesa Trasporti,mezzapesatrasporti.com,http://www.mezzapesatrasporti.com,http://www.linkedin.com/company/mezzapesatrasporti,,,,1998,,49312,61051893b0375e000180ce24
B,Autotrasporti C.T.V.,ctvtrasporti.it,http://www.ctvtrasporti.it,http://www.linkedin.com/company/autotrasporti-c-t-v,+39 045 873 8811,,,1990,,48411,64720b00cb6cb600013cc8e1
B,Trans Cargo s.r.l.,transcargo.it,http://www.transcargo.it,http://www.linkedin.com/company/trans-cargo-s-r-l,,,,2000,,"488510,493110",5da53524cdc1da00016a1152
B,D'Amora Trasporti,damoratrasporti.com,http://www.damoratrasporti.com,http://www.linkedin.com/company/d-amora-trasporti,,,,,,"49312,484122,493110",5da2ef5b780e060001fdadbc
B,Capaldo Trasporti,capaldotrans.it,http://www.capaldotrans.it,http://www.linkedin.com/company/capaldo,,,,1984,,"484121,488510,493110",65ee96a90bc5c5000790717c
B,Transarno Logistica srl,transarnologisticasrl.it,http://www.transarnologisticasrl.it,http://www.linkedin.com/company/transarno-logistica-srl,,,,1897,,"488510,484122,493110",6597cdf70fa5f800016b2b96
B,Central Cargo,centralcargo.it,http://www.centralcargo.it,http://www.linkedin.com/company/centralcargo,+39 375 9315 6427,,,,,49311,5e5791edd2bd680001fec688
B,AUTOTRASPORTI BOMMARTINI SRL,bommartini.it,http://www.bommartini.it,http://www.linkedin.com/company/autotrasporti-bommartini-srl,+39 045 610 8311,,,,,"48411,484121,493110",5e55919bf21c1600010d7789
B,Palena Autotrasporti,palena.com,http://www.palena.com,http://www.linkedin.com/company/autotrasporti-palena-v-e-c-srl,+39 0872 8801,,,1980,,"48411,484121,484122",54a11c5a69702d8ed4999800
B,Luciano Trasporti Srl,lucianotrasporti.it,http://www.lucianotrasporti.it,http://www.linkedin.com/company/lucianotrasporti,+39 08 0455 4695,,,2006,,"48423,484121,488510",5c21ff96a3ae6158471ffa3d
B,Gerace Autotrasporti S.r.l.,geraces.it,http://www.geraces.it,http://www.linkedin.com/company/gerace-autotrasporti-s-r-l,+39 0966 660204,,,2006,,48412,56da5af9f3e5bb7051003307
B,Ciraulo Trasporti,ciraulotrasporti.com,http://www.ciraulotrasporti.com,http://www.linkedin.com/company/ciraulo-trasporti,,,,,,"48411,484121,484122",66d49e9ce04ff70001876917
B,Sistema Spedizioni Srl,sistemaspedizioni.it,http://www.sistemaspedizioni.it,http://www.linkedin.com/company/sistema-spedizioni-srl,,,,2002,,"49311,488510,492110",5e598dab3458ca0001bb37ab
B,Autotrasporti Bertoni,autotrasportibertoni.com,http://www.autotrasportibertoni.com,http://www.linkedin.com/company/autotrasporti-bertoni,+39 03 3277 3553,,,1928,,48411,5da327404b699200017d14c1
B,NF Trasporti Srl,nftrasporti.com,http://www.nftrasporti.com,http://www.linkedin.com/company/nf-trasporti,+39 327 367 5293,,,1985,,"48423,484121,484122",63824412d33e2e000171a7f1
B,AT2 Trasporti,atdue.com,http://www.atdue.com,http://www.linkedin.com/company/at2-trasporti,,,,2001,,,645854975dd3ae0001da536c
B,Trasporto Urgente,trasportourgente.com,http://www.trasportourgente.com,http://www.linkedin.com/company/trasporto-urgente,+39 0423 078078,,,1976,,"49211,484121,484122",6548174f30021f0001df5433
B,Mossucca Logistica e Trasporti,logisticamossucca.com,http://www.logisticamossucca.com,http://www.linkedin.com/company/mossucca-logistica-e-trasporti,+39 0972 237343,,,1970,,"484121,488510,493110",6381f0c86934c300018728b4
B,Brembana Trasporti,brembanatrasporti.com,http://www.brembanatrasporti.com,http://www.linkedin.com/company/brembanatrasporti,+39 035 029 5717,,,1979,,48411,63c51e8c0dd39f000151d993
B,IWS Srl - Spedizioni internazionali,logisticaiws.com,http://www.logisticaiws.com,http://www.linkedin.com/company/iws-srl-spedizioni,,,,,,,670c1a4fdd61a5000107b554
B,ZORDAN LOGISTICA SRL,zordanlogistica.it,http://www.zordanlogistica.it,http://www.linkedin.com/company/zordan-logistica,+39 045 661 5788,,,1984,,"49311,48851,484121",5f49960dd5670c00016afe8c
B,Mantoan Trasporti Srl,mantoantrasporti.it,http://www.mantoantrasporti.it,http://www.linkedin.com/company/mantoantrasportisrl,+39 011 966 0000,,,1964,,"48411,48423,48851",6410207cf1b46c00014ba076
B,TRALFO Srl Trasporti e Spedizioni,tralfo.com,http://www.tralfo.com,http://www.linkedin.com/company/tralfo-srl-trasporti-e-spedizioni,+39 085 854 1456,,,1970,,49311,5e58e4c6d358270001bedec0
B,BRUNO MILELLA & C. S.R.L. SPEDIZIONI INTERNAZIONALI,spedizionibrunomilella.it,http://www.spedizionibrunomilella.it,http://www.linkedin.com/company/bruno-milella-&-c.-s.r.l.-spedizioni-internazionali,+39 080 528 1311,,,1960,,"488510,483111,493110",5f4980be5adeeb0001e66c88
B,Trasporti F.lli Rondi S.R.L.,trasportirondi.com,http://www.trasportirondi.com,http://www.linkedin.com/company/trasporti-rondi,,,,1958,,"484121,488510,493110",57c4adc5a6da9867f271a917
B,DA CANAL Trasporti e Logistica,dacanal.it,http://www.dacanal.it,http://www.linkedin.com/company/da-canal-autotrasporti-e-logistica,+39 0437 852489,,,1984,,"48411,484121,493110",5ed9ed867307d500014a9c46
B,Bordignon Trasporti Srl,bordignon.team,http://www.bordignon.team,http://www.linkedin.com/company/bordignon-trasporti-srl,,,,1964,,"48423,484121,484122",54a134d269702d46f0664000
B,Rattenni Trasporti,rattennitrasporti.it,http://www.rattennitrasporti.it,http://www.linkedin.com/company/rattenni-trasporti,+39 085 57232,,,,,48851,65500f75acf50a0001674424
B,D&G De Luca S.r.l. Autotrasporti & Logistica integrata,degdelucasrl.com,http://www.degdelucasrl.com,http://www.linkedin.com/company/d&g-de-luca-autotrasporti,+39 039 643 0057,,,,,"48411,484122,493110",5a9f40c2a6da98d93be893d3
B,TRIACCA TRASPORTI S.R.L.,triacca.it,http://www.triacca.it,http://www.linkedin.com/company/triaccatrasporti,+39 0187 999412,,,1986,,48422,5e576b657e83710001dfa354
